profile_id,business_name,category,subcategory,minimum_capital,typical_project_cost,expected_monthly_revenue,expected_monthly_expenses,expected_profit_margin,typical_break_even_months,resource_requirements,infrastructure_requirements,risk_factors,data_source,created_at,updated_at
BRP015,Wooden Furniture Manufacturing,Manufacturing,Furniture,,1525000,572958.33,,,,Wood; hardware; finishing materials,Saws; planers; drill; lathe; sanding equipment,Timber prices; safety; skilled labour,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WOODEN%20FURNITURE.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP016,Canvas Shoes Manufacturing,Manufacturing,Footwear,,2157500,303087.5,,,,Canvas; rubber; lasts; adhesives,Mixing; calendering; vulcanizing; sewing equipment,Material prices; machinery; competition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20CANVAS%20SHOES.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP017,Liquid Detergent Manufacturing,Manufacturing,Cleaning Products,,400000,101583.33,,,,Chemical inputs; bottles; labels,Mixing tank; filling/sealing; basic lab,Chemical quality; packaging; compliance,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20LIQUID%20DETERGENT.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP018,Drawing Boards Manufacturing,Manufacturing,Wood Products,,905000,349808.33,,,,Wood; fittings; finishing materials,Saw; planer; drilling; sanding tools,Demand changes; timber prices,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20DRAWING%20BOARDS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP019,Regulated DC Power Supplies,Manufacturing,Electronics,,420000,147958.33,,,,Electronic components; PCBs; wiring,Testing instruments; drilling; tools,Technology change; component availability,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20REGULATED%20D.C.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP020,Mango Jelly / Aam Papad,Food Processing,Fruit Processing,,1200000,319250,,,,Mango pulp; sugar/jaggery; packaging,2500 sq ft shed; pulper; kettle; boiler; dryer,Seasonality; perishability; food safety,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20MANGO%20JELLYAAM%20PAPAD.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP021,Fruit Bars,Food Processing,Fruit Processing,,1282000,311373.33,,,,Fresh fruit; sugar; food-grade packaging,Washing; pulping; kettle; boiler; tray dryer,Seasonality; spoilage; raw material availability,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20FRUIT%20BARS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP022,Web Designing Services,Services,Digital Services,,950000,177416.67,,,,Skilled staff; software; internet services,1000 sq ft workspace; computers; network equipment,Technology change; client acquisition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WEB%20DESIGNING%20TYPE.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP023,Gents T-Shirts Manufacturing,Manufacturing,Garments,,940000,428500,,,,Knitted fabric; labels; packing,Overlock; flatlock; lockstitch; cutting; pressing,Fashion risk; inventory; competition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20GENTS%20T%20SHIRTS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP024,Ladies Blouse and Petticoats,Manufacturing,Garments,,385000,139283.33,,,,Fabric; sewing inputs; labels,12 sewing machines; cutting tables; display/storage,Fashion; competition; labour,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20LADY%27S%20BLOUSE%20%26%20PETTICOATS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP025,Children Garments Manufacturing,Manufacturing,Garments,,985000,313541.67,,,,Fabric; labels; packing,Sewing; embroidery; overlock; washing; hydro extractor,Fashion trends; inventory; competition,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20CHILDREN%20GARMENTS.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP026,Millet Food Products,Food Processing,Millet Processing,,2450000,,,,,Millets; ingredients; packaging; food technologist,Processing machinery; food-grade production setup,Raw material supply; food compliance; market acceptance,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilletbasedfoodProducts.pdf | Confidence: high. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP027,Gajak Manufacturing,Food Processing,Traditional Snacks,,,,,,,Sesame/edible seeds; jaggery; packaging,2000-2500 sq ft factory; syrup kettle; roasting equipment,Input-price volatility; food safety; seasonality,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/Gajakfinal.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP028,Tailoring and Ready-Made Garments,Manufacturing,Garments,,,,,,,Fabric; sewing inputs; skilled tailors,Sewing/overlock machines; cutting; finishing,Fashion; inventory; labour,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegpeportalappdoc/pmegpappuploadSecond/app26079289.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP029,Gents Shirts and Trousers,Manufacturing,Garments,,,,,,,Fabric; trims; labels,Cutting; stitching; finishing equipment,Fashion; inventory; competition,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20GENT%27S%20SHIRTS.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP030,Millet Cookies,Food Processing,Millet Foods,,,,,,,Millet flour; ingredients; packaging,Baking/processing equipment; food-grade facility,Demand uncertainty; food compliance,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilletbasedfoodProducts.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP031,Millet Ready-to-Eat Foods,Food Processing,Millet Foods,,,,,,,Millets; ingredients; packaging,Processing machinery; storage,Market acceptance; raw-material supply,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/MilletbasedfoodProducts.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP032,Honey and Beeswax Products,Agriculture Allied,Beekeeping Products,,,,,,,Honey; beeswax; colonies,Extraction; filtration; storage,Weather; colony health; quality,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/HoneyBeeFarming.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP033,Fruit Preservation Products,Food Processing,Fruit Processing,,,,,,,Fresh fruits; sugar; packaging,Pulping; drying; food-grade processing,Seasonality; spoilage,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20FRUIT%20BARS.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP034,Wooden Household Furniture,Manufacturing,Furniture,,,,,,,Timber; hardware; finishing materials,Woodworking machines; workshop,Timber prices; safety; skilled labour,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WOODEN%20FURNITURE.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP035,Metal Household Storage Products,Manufacturing,Metal Products,,,,,,,Steel sheets; fittings,Cutting; bending; folding tools,Metal prices; competition,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20STEEL%20TRUNKS.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP036,Cosmetic Cream Products,Manufacturing,Cosmetics,,,,,,,Cosmetic ingredients; packaging,Mixing; filling; sealing; QC equipment,Quality; regulatory compliance,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20FACE%20CREAM%20AND%20CLEANSING%20LOTION.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP037,Soap and Cleaning Products,Manufacturing,Cleaning Products,,,,,,,Oils/chemical inputs; packaging,Mixing; milling; moulding/cutting equipment,Chemical safety; compliance,"KVIC/PMEGP or MSME official project/reference profile | https://kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20TOILET%20SOAP.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP038,Digital Design Services,Services,Digital Services,,,,,,,Skilled designers; software; connectivity,Computers; network; workspace,Technology change; client acquisition,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20WEB%20DESIGNING%20TYPE.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP039,Electronic Power Supply Assembly,Manufacturing,Electronics,,,,,,,Electronic components; wiring,Testing equipment; tools,Component availability; technology changes,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20REGULATED%20D.C.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
BRP040,Organic Bio-Manure Enterprise,Agriculture Allied,Organic Inputs,,,,,,,Organic waste; earthworms,Composting shed; processing tools,Feedstock; climate; demand,"KVIC/PMEGP or MSME official project/reference profile | https://www.kviconline.gov.in/pmegp/pmegpweb/docs/commonprojectprofile/PROJECT%20PROFILE%20ON%20PRODUCTION%20OF%20VERMICOMPOST%202.pdf | Confidence: medium. Project/reference values are source configurations, not guaranteed current market prices.",2026-09-06T12:21:27Z,2026-09-06T12:21:27Z
